Date_recorded,Picture_url,Title,Year,Type,Mileage,Engine Size,BHP,Transmition,Fuel Type,Price 
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/04d069ae0b0f4e0d9099a69dc076e489.jpg, Volkswagen Golf GTI 2.0 5dr, 2016 (16 reg), Hatchback, 26515 miles, 2.0L, 217bhp, Manual, Petrol, 17500
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/df7d251bf0604172acfd4eef2b9f1e8e.jpg, Volkswagen Golf 2.0 Tsi Gti 5Dr Dsg Petrol Hatchback, 2015 (65 reg), Hatchback, 55000 miles, 2.0L, 217bhp, Automatic, Petrol, 17500
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/56fbcfc05ef840e1a43548141f4a7dc7.jpg, Volkswagen Golf 2.0 TSI GTI 3dr, 2016 (16 reg), Hatchback, 30180 miles, 2.0L, 217bhp, Manual, Petrol, 17665
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/8cc0d20f72414a8ea0d84a181b7a3f6b.jpg, Volkswagen Golf 2.0 GTI 5d 218 BHP-SAT NAV-MEDIA-DAB-BLUETOOTH …, 2015 (65 reg), Hatchback, 16051 miles, 2.0L, 217bhp, Manual, Petrol, 17991
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/57f91c59fa72467ba11213df180acf05.jpg, Volkswagen Golf 2.0 TSI GTI 3dr [Nav], 2017 (66 reg), Hatchback, 24752 miles, 2.0L, Manual, Petrol, , 17999
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/afa894460ed149e98a6030db79c16ed4.jpg, Volkswagen Golf 2.0 TSI GTI 5dr, 2016 (16 reg), Hatchback, 18222 miles, 2.0L, 217bhp, Manual, Petrol, 18000
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/4e05ea51e5b04833aa97a6c24f3a7066.jpg, Volkswagen Golf 2.0 TSI BlueMotion Tech GTI (s/s) 5dr, 2016 (66 reg), Hatchback, 18722 miles, 2.0L, 217bhp, Manual, Petrol, 18480
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/04d069ae0b0f4e0d9099a69dc076e489.jpg, Volkswagen Golf GTI 2.0 5dr, 2016 (16 reg), Hatchback, 26515 miles, 2.0L, 217bhp, Manual, Petrol, 17500
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/d6f118e3939a4c26aef0873375b499c5.jpg, Volkswagen Golf Hatchback 2.0 TSI GTI 5dr DSG [Leather], 2012 (12 reg), Hatchback, 43726 miles, 2.0L, 232bhp, Automatic, Petrol, 14100
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/d6f118e3939a4c26aef0873375b499c5.jpg, Volkswagen Golf Hatchback 2.0 TSI GTI 5dr DSG [Leather], 2012 (12 reg), Hatchback, 43726 miles, 2.0L, 232bhp, Automatic, Petrol, 14100
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/ad8906a7224149cca3c22079817595a6.jpg, Volkswagen Golf 2.0 TSI BlueMotion Tech GTI DSG (s/s) 5dr, 2016 (16 reg), Hatchback, 33000 miles, 2.0L, 217bhp, Automatic, Petrol, 18490
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/c4ab1e9ef117419ca9058bf76558bd70.jpg, Volkswagen Golf GTI Performance 2.0 TSI 230 PS 5dr, 2016 (65 reg), Hatchback, 23000 miles, 2.0L, 217bhp, Manual, Petrol, 18588
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/54757d9332284c2e9a0997f21acaa126.jpg, Volkswagen Golf GTI 2.0 5dr, 2016 (66 reg), Hatchback, 18494 miles, 2.0L, 217bhp, Manual, Petrol, 18700
2019-02-10, https://m.atcdn.co.uk/a/media/w267h200pdfdfdf/aea39ec346f14d4aa350bcfea52ecd7f.jpg, Volkswagen Golf 2.0 TSI BlueMotion Tech GTI 3dr, 2016 (16 reg), Hatchback, 12100 miles, 2.0L, 217bhp, Manual, Petrol, 18750
